fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
75932,BATIMENT0000000240757026-1,75111000BB0010_150af124a8d1695,"75","751114206","75056","509",20.000000000000000,33.899999999999999,"0"
75933,BATIMENT0000000240744402-2,75111000BX0091_f446c23680e2ed0,"75","751114306","75056","136",11.100000000000000,35.600000000000001,"0"
75934,BATIMENT0000000240744404-3,75111000BX0091_f446c23680e2ed0,"75","751114306","75056","117",13.900000000000000,35.600000000000001,"0"
75935,BATIMENT0000000240754503-1,75111000BC0001_576cddd823a8a93,"75","751114206","75056","26",27.000000000000000,35.000000000000000,"0"
75936,BATIMENT0000000240754504-1,75111000BC0001_576cddd823a8a93,"75","751114206","75056","711",26.100000000000001,35.000000000000000,"0"
75937,BATIMENT0000000356564027-1,75111000BB0013_2197bcacf0a4968,"75","751114206","75056","584",14.100000000000000,34.799999999999997,"0"
75938,BATIMENT0000000356564030-1,75111000BB0013_2197bcacf0a4968,"75","751114206","75056","190",11.300000000000001,35.799999999999997,"0"
75939,BATIMENT0000000240754634-2,75111000BC0003_6ff81bec1aaf8e6,"75","751114206","75056","21",4.100000000000000,35.000000000000000,"0"
75940,BATIMENT0000000240754635-2,75111000BC0003_6ff81bec1aaf8e6,"75","751114206","75056","151",21.899999999999999,35.000000000000000,"0"
75941,BATIMENT0000000240757034-1,75111000BB0018_0a7d71e16b5c454,"75","751114206","75056","126",10.900000000000000,35.000000000000000,"0"
75942,BATIMENT0000000240757035-1,75111000BB0018_0a7d71e16b5c454,"75","751114206","75056","254",25.199999999999999,35.000000000000000,"0"
75943,BATIMENT0000000245186659-5,75111000BD0111_30f65834081beb6,"75","751114208","75056","1292",13.300000000000001,35.000000000000000,"0"
75944,BATIMENT0000000245186664-7,75111000BD0111_30f65834081beb6,"75","751114208","75056","985",11.800000000000001,35.000000000000000,"0"
75945,BATIMENT0000000245186674-1,75111000BD0111_30f65834081beb6,"75","751114208","75056","17",5.500000000000000,35.000000000000000,"0"
75946,BATIMENT0000000245185688-1,75111000BD0028_32b25ca203ddb6d,"75","751114208","75056","970",33.500000000000000,35.000000000000000,"0"
75947,BATIMENT0000000253252340-1,75111000BD0028_32b25ca203ddb6d,"75","751114208","75056","701",32.100000000000001,39.000000000000000,"0"
75948,BATIMENT0000000253252346-1,75111000BD0028_32b25ca203ddb6d,"75","751114208","75056","1147",22.600000000000001,39.000000000000000,"0"
75949,BATIMENT0000000253252347-1,75111000BD0028_32b25ca203ddb6d,"75","751114208","75056","1041",33.100000000000001,39.000000000000000,"0"
75950,BATIMENT0000000253252349-1,75111000BD0028_32b25ca203ddb6d,"75","751114208","75056","4568",6.700000000000000,32.000000000000000,"0"
75951,BATIMENT0000000245186709-3,75111000BD0032_39f2356d159adbf,"75","751114208","75056","175",18.800000000000001,33.299999999999997,"0"
75952,BATIMENT0000000245186710-2,75111000BD0032_39f2356d159adbf,"75","751114208","75056","578",13.699999999999999,39.000000000000000,"0"
75953,BATIMENT0000000253252325-1,75111000BD0033_6a53baf58337791,"75","751114208","75056","261",3.200000000000000,33.000000000000000,"0"
75954,BATIMENT0000000253252363-3,75111000BD0033_6a53baf58337791,"75","751114208","75056","296",6.300000000000000,33.000000000000000,"0"
75955,BATIMENT0000000309676040-2,75111000BD0033_6a53baf58337791,"75","751114208","75056","919",14.800000000000001,33.200000000000003,"0"
75956,BATIMENT0000000245186323-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","2183",18.600000000000001,34.899999999999999,"0"
75957,BATIMENT0000000245186324-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","2364",21.699999999999999,35.000000000000000,"0"
75958,BATIMENT0000000245186325-1,75111000BD0057_8c95928f784d979,"75","751114207","75056","1170",4.000000000000000,35.000000000000000,"0"
75959,BATIMENT0000000245186328-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","724",27.399999999999999,35.000000000000000,"0"
75960,BATIMENT0000000245186331-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","296",3.500000000000000,35.000000000000000,"0"
75961,BATIMENT0000000253252350-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","529",29.100000000000001,35.000000000000000,"0"
75962,BATIMENT0000000253252351-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","650",21.399999999999999,35.000000000000000,"0"
75963,BATIMENT0000000316909892-1,75111000BD0057_8c95928f784d979,"75","751114208","75056","158",7.200000000000000,34.000000000000000,"0"
75964,BATIMENT0000000245186317-1,75111000BD0060_147e96a12431ffa,"75","751114207","75056","184",16.500000000000000,35.000000000000000,"0"
75965,BATIMENT0000000245186322-3,75111000BD0060_147e96a12431ffa,"75","751114207","75056","237",16.699999999999999,35.000000000000000,"0"
75966,BATIMENT0000000240754632-2,75111000BC0005_e69b548bc038624,"75","751114206","75056","43",4.100000000000000,35.000000000000000,"0"
75967,BATIMENT0000000240754633-3,75111000BC0005_e69b548bc038624,"75","751114206","75056","356",22.199999999999999,35.000000000000000,"0"
75968,BATIMENT0000000240754486-2,75111000BC0011_358599dc05b9246,"75","751114206","75056","178",26.500000000000000,35.000000000000000,"0"
75969,BATIMENT0000000240754487-1,75111000BC0011_358599dc05b9246,"75","751114206","75056","348",23.100000000000001,35.000000000000000,"0"
75970,BATIMENT0000000240754490-2,75111000BC0011_358599dc05b9246,"75","751114206","75056","22",5.000000000000000,35.000000000000000,"0"
75971,BATIMENT0000000240754493-1,75111000BC0016_55079be92b9f88b,"75","751114206","75056","7",30.000000000000000,35.000000000000000,"0"
